"FIT101","LIT101","MV101","P101","P102","AIT201","AIT202","AIT203"
0,1.5235485241629,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.52451059633645,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.52547266851001,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.52787846172871,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.5259543173816,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.51873816329515,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.51392657685774,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.51248408138224,5,5,10,9.45861691307301,9.29394305096191,5.70346821388945
0,1.51007828816353,5,5,10,9.45861691307301,9.29322645071026,5.70346821388945
0,1.51152200920869,5,5,10,9.45861691307301,9.29036116764477,5.70346821388945
0,1.51633237007644,5,5,10,9.45861691307301,9.28892796714148,5.70487041492569
0,1.5230668752913,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.52547266851001,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.53028302937776,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.53268882259646,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.52691638955516,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.52451059633645,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.52451059633645,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.52210480311775,5,5,10,9.45861691307301,9.28892796714148,5.70580582341931
0,1.5211427309442,5,5,10,9.45861691307301,9.28892796714148,5.70346821388945
0,1.5216243798158,5,5,10,9.45861691307301,9.28892796714148,5.70346821388945
0,1.5235485241629,5,5,10,9.45861691307301,9.28892796714148,5.70346821388945
0,1.5216243798158,5,5,10,9.45861691307301,9.28892796714148,5.70346821388945
0,1.52066230764225,5,5,10,9.45861691307301,9.29000230854839,5.70346821388945
0,1.52066230764225,5,5,10,9.45861691307301,9.29000230854839,5.70346821388945
0,1.52066230764225,5,5,10,9.45861691307301,9.29215210930334,5.70346821388945
0,1.51633237007644,5,5,10,9.45861691307301,9.29215210930334,5.70346821388945
0,1.51585072120484,5,5,10,9.45861691307301,9.29215210930334,5.70346821388945
0,1.51440822572934,5,5,10,9.45861691307301,9.29430079211717,5.70346821388945
0,1.51007828816353,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.51200243251064,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.50959786486158,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.51392657685774,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.51681279337839,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.5197002354687,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.52210480311775,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.52066230764225,5,5,10,9.45861691307301,9.29430079211717,5.70580582341931
0,1.5197002354687,5,5,10,9.45861691307301,9.29000230854839,5.70580582341931
